latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
28.04958,80.10432,337.8,0.59,0.53,2017-10-08,0820,N,VIIRS,n,1,301.1,6.1
28.06241,80.11304,350.6,0.36,0.57,2017-10-12,0705,N,VIIRS,n,1,298.7,6.5
28.27436,80.34125,336.1,0.5,0.41,2017-10-09,0802,N,VIIRS,n,1,301.1,3.7
28.29024,80.30558,333.3,0.4,0.44,2017-10-14,0808,N,VIIRS,n,1,303.6,2.6
24.20696,82.71873,306.9,0.51,0.66,2017-09-16,2059,N,VIIRS,n,1,284.9,1.6
25.80271,79.97756,335.9,0.43,0.46,2017-09-25,0723,N,VIIRS,n,1,298.7,2
28.31711,80.4985,334.7,0.63,0.54,2017-10-08,0820,N,VIIRS,n,1,300.1,6.1
24.7443,80.91886,342,0.39,0.44,2017-10-14,0807,N,VIIRS,n,1,312.7,2.8
25.44374,81.36765,340.6,0.4,0.37,2017-10-15,0748,N,VIIRS,n,1,308.9,3.7
25.64799,81.22132,335.9,0.46,0.39,2017-10-16,0729,N,VIIRS,n,1,309.5,2.3
28.22973,80.31691,335.2,0.43,0.38,2017-10-04,0755,N,VIIRS,n,1,297.4,3.8
28.12923,80.1751,334.5,0.42,0.38,2017-10-04,0755,N,VIIRS,n,1,296.5,1.3
28.09791,80.18356,342.3,0.6,0.53,2017-10-08,0820,N,VIIRS,n,1,301.4,4.9
28.1848,80.15539,330.8,0.6,0.53,2017-10-08,0820,N,VIIRS,n,1,300.5,4.9
28.18207,80.16019,336,0.6,0.53,2017-10-08,0820,N,VIIRS,n,1,300.8,3.3
28.18501,80.14396,367,0.36,0.57,2017-10-12,0705,N,VIIRS,h,1,301.3,6.5
28.12255,80.20504,335.3,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,304.6,2
28.17434,80.15308,339.7,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,302.7,5.5
28.18375,80.12749,341.4,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,305.6,5.3
28.07612,80.18313,333,0.48,0.4,2017-10-16,0730,N,VIIRS,n,1,303.8,3.3
28.15769,80.24104,348.4,0.47,0.4,2017-10-16,0730,N,VIIRS,n,1,305.4,9.2
23.84431,79.82279,342,0.38,0.43,2017-10-16,0729,N,VIIRS,n,1,306.6,2.6
24.59508,80.86232,313.2,0.39,0.36,2017-09-02,2021,N,VIIRS,n,1,295.6,1.6
24.59653,80.8614,307.9,0.48,0.4,2017-09-03,2002,N,VIIRS,n,1,293.3,1.1
24.59639,80.8612,311.1,0.43,0.38,2017-09-07,2028,N,VIIRS,n,1,292.6,1.6
24.59489,80.85977,301.5,0.5,0.41,2017-09-12,2034,N,VIIRS,n,1,282.7,0.5
24.65248,80.62635,341.6,0.46,0.47,2017-10-03,0813,N,VIIRS,n,1,309.5,6.8
24.61646,80.65627,331.1,0.41,0.37,2017-10-04,0754,N,VIIRS,n,1,300.4,4.4
24.16713,80.69559,295.2,0.4,0.44,2017-09-01,2040,N,VIIRS,n,1,270.5,0.5
24.16867,80.69442,301.3,0.5,0.41,2017-09-28,2034,N,VIIRS,n,1,283.8,0.9
24.16854,80.69537,305.9,0.39,0.36,2017-10-04,2022,N,VIIRS,n,1,295.5,0.7
24.1687,80.69377,306.6,0.48,0.4,2017-10-05,2003,N,VIIRS,n,1,290.8,1.2
24.16815,80.69461,305.3,0.49,0.65,2017-10-07,2105,N,VIIRS,n,1,288.6,1.1
24.15812,80.67235,334.3,0.51,0.41,2017-10-16,0729,N,VIIRS,n,1,308.4,1.7
28.31954,81.05303,333.2,0.43,0.62,2017-10-13,0827,N,VIIRS,n,1,296.5,1.8
28.33987,81.01565,331.2,0.42,0.61,2017-10-13,0827,N,VIIRS,n,1,298,2.2
24.20136,80.79951,308.1,0.41,0.37,2017-10-10,2009,N,VIIRS,n,1,294.3,1.6
24.20358,80.79993,306.5,0.5,0.41,2017-10-14,2034,N,VIIRS,n,1,295.5,1.7
24.05329,80.61352,296.7,0.4,0.44,2017-09-01,2040,N,VIIRS,n,1,267.8,0.6
24.05325,80.61499,299.6,0.39,0.36,2017-09-13,2015,N,VIIRS,n,1,274.3,0.8
24.05253,80.6147,308.7,0.5,0.49,2017-10-08,2047,N,VIIRS,n,1,291.2,1.6
26.65203,80.00077,340.6,0.38,0.36,2017-10-15,0749,N,VIIRS,n,1,314.1,5.5
26.70641,80.02563,304.6,0.41,0.37,2017-10-15,2015,N,VIIRS,n,1,290.1,0.4
27.39709,79.95888,342.3,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,310,6.6
23.38008,79.3517,342.5,0.39,0.36,2017-10-15,0748,N,VIIRS,n,1,310.2,3.4
28.29388,80.10733,333.5,0.44,0.62,2017-10-07,0659,N,VIIRS,n,1,294.5,2.9
28.14238,80.08439,330.3,0.48,0.4,2017-10-09,0802,N,VIIRS,n,1,299.8,3.3
28.28714,80.09619,333.2,0.48,0.4,2017-10-09,0802,N,VIIRS,n,1,300.7,3.7
28.153,79.92873,330.9,0.39,0.36,2017-10-10,0743,N,VIIRS,n,1,296.5,1.7
28.22187,80.12243,344.5,0.57,0.43,2017-10-11,0724,N,VIIRS,n,1,300.2,11.6
28.13127,80.10681,331.9,0.37,0.58,2017-10-13,0827,N,VIIRS,n,1,298.6,2.2
28.12504,80.11549,341,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,306.6,7.4
28.12995,80.12287,353.6,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,306.7,10.6
28.26591,80.12428,337.3,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,304,1.9
28.27624,80.10663,341.3,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,304.7,4.4
28.26664,80.12566,334,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,307.6,9.2
28.16938,80.11835,337.2,0.48,0.4,2017-10-16,0730,N,VIIRS,n,1,304,3.3
23.88525,78.26302,334,0.39,0.36,2017-10-04,0754,N,VIIRS,l,1,308.9,1.5
23.99062,79.39368,297.9,0.38,0.36,2017-09-18,2022,N,VIIRS,n,1,271.3,0.5
23.98889,79.38832,301.5,0.72,0.76,2017-10-07,1925,N,VIIRS,n,1,286.9,0.9
28.02505,80.31851,335.8,0.56,0.43,2017-10-11,0724,N,VIIRS,n,1,300.5,8.7
27.9781,80.27294,348.2,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,304.6,6.8
25.05736,79.27828,309.2,0.42,0.37,2017-10-15,2015,N,VIIRS,n,1,293.3,0.7
23.02617,79.85837,336.2,0.39,0.36,2017-10-15,0748,N,VIIRS,n,1,309.6,2.1
24.33672,80.87329,334.6,0.39,0.36,2017-10-10,0742,N,VIIRS,n,1,304.4,5.2
23.62626,78.22923,330.2,0.43,0.38,2017-09-28,0807,N,VIIRS,l,1,302.8,2.8
24.4891,80.58794,338.3,0.51,0.41,2017-10-16,0729,N,VIIRS,n,1,312.5,4.8
24.48873,80.59031,336.4,0.51,0.41,2017-10-16,0729,N,VIIRS,n,1,311.2,3
17.72077,82.97721,332.3,0.39,0.44,2017-09-09,0721,N,VIIRS,n,1,293.3,4.4
11.81639,77.91644,299.6,0.49,0.4,2017-09-19,2006,N,VIIRS,n,1,275.7,1.2
11.81008,77.92169,313.8,0.49,0.4,2017-09-19,2006,N,VIIRS,n,1,275.7,2.2
9.58833,78.80003,337.5,0.48,0.4,2017-09-02,0750,N,VIIRS,l,1,300.2,6.9
10.49285,78.98924,340.9,0.41,0.37,2017-09-01,0809,N,VIIRS,n,1,301,2.8
8.61345,77.88322,339.4,0.41,0.37,2017-09-22,0815,N,VIIRS,l,1,310.6,4.3
8.6129,77.87952,339.3,0.41,0.37,2017-09-22,0815,N,VIIRS,l,1,311,5.9
8.62957,77.8506,340.3,0.41,0.37,2017-09-22,0815,N,VIIRS,l,1,311.6,4.8
8.79431,77.99688,342.7,0.41,0.37,2017-09-22,0815,N,VIIRS,n,1,307.2,8.3
8.7846,78.124,339.2,0.44,0.46,2017-09-29,0744,N,VIIRS,n,1,295.5,3.5
8.70252,78.08208,335.3,0.41,0.37,2017-10-08,0815,N,VIIRS,n,1,301.3,2
11.1233,79.36793,330,0.42,0.38,2017-10-03,0809,N,VIIRS,l,1,300.3,3.3
11.12677,79.36741,340.4,0.42,0.38,2017-10-03,0809,N,VIIRS,n,1,299.7,3.3
9.96479,76.39232,332.5,0.43,0.46,2017-09-02,0750,N,VIIRS,n,1,285.3,2.3
9.97554,76.37357,304.4,0.56,0.43,2017-09-19,2007,N,VIIRS,n,1,291.4,2.1
9.97501,76.37663,305.7,0.47,0.48,2017-09-22,2051,N,VIIRS,n,1,291.9,1.5
9.97607,76.37012,304,0.38,0.59,2017-10-06,1948,N,VIIRS,n,1,282.9,1.9
9.98048,76.37569,299,0.38,0.59,2017-10-06,1948,N,VIIRS,n,1,282.2,1
11.50988,77.53864,331.9,0.5,0.49,2017-09-21,0835,N,VIIRS,n,1,298.3,2.1
9.24667,78.33344,336.8,0.53,0.5,2017-09-21,0834,N,VIIRS,n,1,302.2,3.8
